GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
test_pyramid_strategy,com.tntautomation.test_pyramid_strategy.airport,Flight,0,186,0,10,0,47,0,21,0,16
test_pyramid_strategy,com.tntautomation.test_pyramid_strategy.airport,Passenger,0,143,0,12,0,31,0,15,0,9
