GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
test_pyramid_strategy,com.pluralsight.test_pyramid_strategy.airport,Passenger,0,118,0,8,0,29,0,13,0,9
test_pyramid_strategy,com.pluralsight.test_pyramid_strategy.airport,Flight,0,160,0,8,0,39,0,18,0,14
